0.1929,0.057986,0.20551,0.13891,0.24384,0.10493,1.1399,3.8306,0.92558,0.41458,0.24493,0.1929,0.11963,0.019778,0.26667,0.92188,0.0078125,4.8672,4.8594,0.17465,0
0.19097,0.060329,0.20734,0.13468,0.24017,0.10549,1.0332,3.3225,0.92615,0.42232,0.21555,0.19097,0.1134,0.038005,0.18605,0.72781,0.0078125,5.6172,5.6094,0.18321,0
0.18709,0.060565,0.19367,0.13657,0.23706,0.10049,1.1543,4.901,0.93558,0.5317,0.22427,0.18709,0.10165,0.026578,0.15842,1.0561,0.14844,5.0781,4.9297,0.1767,0
0.1819,0.0626,0.17361,0.13409,0.24454,0.11045,1.3385,4.7731,0.935,0.52452,0.25568,0.1819,0.12029,0.041995,0.22857,0.55876,0.0078125,4.3281,4.3203,0.092142,0
0.16036,0.078512,0.16383,0.105,0.2306,0.1256,1.2844,5.0548,0.97019,0.77389,0.2172,0.16036,0.11417,0.023188,0.27586,0.68649,0.023438,4.3516,4.3281,0.19711,0
0.19053,0.060947,0.20177,0.13592,0.24496,0.10904,1.1058,3.895,0.93348,0.47561,0.23953,0.19053,0.11236,0.021277,0.26667,0.96031,0.14062,4.8906,4.75,0.24952,0
0.18302,0.060242,0.18264,0.13559,0.23949,0.1039,1.2464,4.4833,0.93098,0.5004,0.14572,0.18302,0.11603,0.039702,0.21333,0.52038,0.0078125,3.2734,3.2656,0.15789,0
0.19044,0.061375,0.20727,0.13273,0.24327,0.11055,1.3092,4.2758,0.92081,0.45302,0.13745,0.19044,0.12021,0.01995,0.23881,0.75967,0.13281,4.5156,4.3828,0.17959,0
0.19595,0.063271,0.21408,0.13433,0.25306,0.11873,1.299,4.0167,0.92175,0.46169,0.23534,0.19595,0.11926,0.029197,0.21053,0.50967,0.125,4.1094,3.9844,0.082353,0
0.19461,0.062497,0.22265,0.13034,0.24841,0.11807,2.6519,11.507,0.89388,0.38533,0.24811,0.19461,0.11289,0.038278,0.14414,0.73531,0.125,5.4297,5.3047,0.19011,0
0.1936,0.061316,0.22128,0.13054,0.24652,0.11598,2.0582,7.4608,0.89768,0.42811,0.22808,0.1936,0.12609,0.041344,0.27119,0.79688,0.0078125,4.5156,4.5078,0.11531,0
